country_code,year,paper_pulp_prod_tonnes
HND,2000,7000
HND,1999,7000
HND,1998,7000
HND,1997,800
HUN,2020,0
HUN,2019,0
HUN,2018,0
HUN,2017,20000
HUN,2016,21000
HUN,2015,21000
HUN,2014,23000
HUN,2013,19000
HUN,2012,18000
HUN,2011,18000
HUN,2010,15000
HUN,2009,18000
HUN,2008,20000
HUN,2007,20000
HUN,2006,19000
HUN,2005,16000
HUN,2004,4000
HUN,2003,16000
HUN,2002,22000
HUN,2001,22000
HUN,2000,24000
HUN,1999,17000
HUN,1998,17000
HUN,1997,12000
HUN,1996,21000
HUN,1995,25000
HUN,1994,25000
HUN,1993,25000
HUN,1992,29000
HUN,1991,37000
HUN,1990,50000
HUN,1989,73000
HUN,1988,81000
HUN,1987,69000
HUN,1986,62000
HUN,1985,93000
HUN,1984,108000
